CaseKey,Group,Condition,range_permits_violation
MiddleAged_Male_case1,MiddleAged_Male,LLM_only,1
MiddleAged_Male_case1,MiddleAged_Male,HardRule_only,1
MiddleAged_Male_case1,MiddleAged_Male,LLMHard_soft,1
MiddleAged_Male_case1,MiddleAged_Male,LLMHard_hard,1
MiddleAged_Male_case2,MiddleAged_Male,LLM_only,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule_only,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_soft,1
MiddleAged_Male_case2,MiddleAged_Male,LLMHard_hard,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_only,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule_only,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_soft,1
MiddleAged_Male_case3,MiddleAged_Male,LLMHard_hard,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_only,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule_only,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_soft,1
MiddleAged_Female_case1,MiddleAged_Female,LLMHard_hard,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_only,1
MiddleAged_Female_case2,MiddleAged_Female,HardRule_only,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_soft,1
MiddleAged_Female_case2,MiddleAged_Female,LLMHard_hard,1
MiddleAged_Female_case3,MiddleAged_Female,LLM_only,1
MiddleAged_Female_case3,MiddleAged_Female,HardRule_only,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_soft,1
MiddleAged_Female_case3,MiddleAged_Female,LLMHard_hard,1
Older_Male_case1,Older_Male,LLM_only,1
Older_Male_case1,Older_Male,HardRule_only,1
Older_Male_case1,Older_Male,LLMHard_soft,1
Older_Male_case1,Older_Male,LLMHard_hard,1
Older_Male_case2,Older_Male,LLM_only,1
Older_Male_case2,Older_Male,HardRule_only,1
Older_Male_case2,Older_Male,LLMHard_soft,1
Older_Male_case2,Older_Male,LLMHard_hard,1
Older_Male_case3,Older_Male,LLM_only,1
Older_Male_case3,Older_Male,HardRule_only,1
Older_Male_case3,Older_Male,LLMHard_soft,1
Older_Male_case3,Older_Male,LLMHard_hard,1
Older_Female_case1,Older_Female,LLM_only,1
Older_Female_case1,Older_Female,HardRule_only,1
Older_Female_case1,Older_Female,LLMHard_soft,1
Older_Female_case1,Older_Female,LLMHard_hard,1
Older_Female_case2,Older_Female,LLM_only,1
Older_Female_case2,Older_Female,HardRule_only,1
Older_Female_case2,Older_Female,LLMHard_soft,1
Older_Female_case2,Older_Female,LLMHard_hard,1
Older_Female_case3,Older_Female,LLM_only,1
Older_Female_case3,Older_Female,HardRule_only,1
Older_Female_case3,Older_Female,LLMHard_soft,1
Older_Female_case3,Older_Female,LLMHard_hard,1
