Comparison,Dim,A_%,B_%,Delta,p_value,n_pairs
HardRule_only_vs_LLMHard_soft,G1,87.2,91.5,4.3,0.625,47
HardRule_only_vs_LLMHard_soft,G2,46.8,40.4,-6.4,0.663624,47
HardRule_only_vs_LLMHard_soft,G3,57.4,63.8,6.4,0.607239,47
HardRule_only_vs_LLMHard_soft,G4,66.0,48.9,-17.0,0.115318,47
HardRule_only_vs_LLMHard_hard,G1,87.0,100.0,13.0,0.03125,46
HardRule_only_vs_LLMHard_hard,G2,45.7,100.0,54.3,0.0,46
HardRule_only_vs_LLMHard_hard,G3,56.5,100.0,43.5,2e-06,46
HardRule_only_vs_LLMHard_hard,G4,65.2,56.5,-8.7,0.541256,46
LLM_only_vs_LLMHard_soft,G1,91.5,91.5,0.0,1.0,47
LLM_only_vs_LLMHard_soft,G2,40.4,40.4,0.0,1.0,47
LLM_only_vs_LLMHard_soft,G3,68.1,63.8,-4.3,0.726562,47
LLM_only_vs_LLMHard_soft,G4,51.1,48.9,-2.1,1.0,47
PreGuardrail_vs_LLMHard_soft,G1,93.6,91.5,-2.1,1.0,47
PreGuardrail_vs_LLMHard_soft,G2,36.2,40.4,4.3,0.814529,47
PreGuardrail_vs_LLMHard_soft,G3,61.7,63.8,2.1,1.0,47
PreGuardrail_vs_LLMHard_soft,G4,61.7,48.9,-12.8,0.237885,47
LLMHard_soft_vs_LLMHard_hard,G1,91.3,100.0,8.7,0.125,46
LLMHard_soft_vs_LLMHard_hard,G2,41.3,100.0,58.7,0.0,46
LLMHard_soft_vs_LLMHard_hard,G3,63.0,100.0,37.0,1.5e-05,46
LLMHard_soft_vs_LLMHard_hard,G4,50.0,56.5,6.5,0.629059,46
