CaseKey,Group,Condition,CF_idx,G1,G2,G3,G4
MiddleAged_Male_case1,MiddleAged_Male,PreGuardrail,1,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,PreGuardrail,2,1,0,0,1
MiddleAged_Male_case1,MiddleAged_Male,PreGuardrail,3,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,PreGuardrail,4,1,1,1,0
MiddleAged_Male_case1,MiddleAged_Male,LLM_strict,1,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,LLM_strict,2,1,0,0,1
MiddleAged_Male_case1,MiddleAged_Male,LLM_strict,3,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,LLM_strict,4,1,0,0,0
MiddleAged_Male_case1,MiddleAged_Male,LLM_lenient,1,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,LLM_lenient,2,1,0,0,1
MiddleAged_Male_case1,MiddleAged_Male,LLM_lenient,3,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,LLM_lenient,4,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,HardRule,1,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,HardRule,2,1,0,0,1
MiddleAged_Male_case1,MiddleAged_Male,HardRule,3,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,HardRule,4,1,0,0,1
MiddleAged_Male_case1,MiddleAged_Male,Final,1,1,1,1,1
MiddleAged_Male_case1,MiddleAged_Male,Final,2,1,0,1,1
MiddleAged_Male_case1,MiddleAged_Male,Final,3,1,0,0,1
MiddleAged_Male_case1,MiddleAged_Male,Final,4,1,1,1,1
MiddleAged_Male_case2,MiddleAged_Male,PreGuardrail,1,1,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,PreGuardrail,2,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,PreGuardrail,3,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,PreGuardrail,4,1,0,1,1
MiddleAged_Male_case2,MiddleAged_Male,LLM_strict,1,1,1,1,0
MiddleAged_Male_case2,MiddleAged_Male,LLM_strict,2,1,1,0,0
MiddleAged_Male_case2,MiddleAged_Male,LLM_strict,3,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,LLM_strict,4,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,LLM_lenient,1,1,0,1,0
MiddleAged_Male_case2,MiddleAged_Male,LLM_lenient,2,1,0,1,0
MiddleAged_Male_case2,MiddleAged_Male,LLM_lenient,3,1,0,0,0
MiddleAged_Male_case2,MiddleAged_Male,LLM_lenient,4,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule,1,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule,2,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule,3,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,HardRule,4,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,Final,1,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,Final,2,1,0,0,1
MiddleAged_Male_case2,MiddleAged_Male,Final,3,1,1,0,1
MiddleAged_Male_case2,MiddleAged_Male,Final,4,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,2,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,3,0,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,PreGuardrail,4,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_strict,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_strict,2,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_strict,3,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_strict,4,0,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_lenient,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_lenient,2,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_lenient,3,0,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,LLM_lenient,4,1,0,0,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule,2,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule,3,0,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,HardRule,4,1,0,0,1
MiddleAged_Male_case3,MiddleAged_Male,Final,1,1,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,Final,2,1,1,0,1
MiddleAged_Male_case3,MiddleAged_Male,Final,3,0,0,1,1
MiddleAged_Male_case3,MiddleAged_Male,Final,4,1,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,1,1,1,1,0
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,2,1,0,1,1
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,3,1,0,1,0
MiddleAged_Female_case1,MiddleAged_Female,PreGuardrail,4,0,0,0,0
MiddleAged_Female_case1,MiddleAged_Female,LLM_strict,1,1,0,1,0
MiddleAged_Female_case1,MiddleAged_Female,LLM_strict,2,0,0,0,0
MiddleAged_Female_case1,MiddleAged_Female,LLM_strict,3,1,0,1,0
MiddleAged_Female_case1,MiddleAged_Female,LLM_strict,4,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_lenient,1,0,0,0,0
MiddleAged_Female_case1,MiddleAged_Female,LLM_lenient,2,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_lenient,3,1,0,1,1
MiddleAged_Female_case1,MiddleAged_Female,LLM_lenient,4,1,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule,1,0,0,0,0
MiddleAged_Female_case1,MiddleAged_Female,HardRule,2,1,1,1,0
MiddleAged_Female_case1,MiddleAged_Female,HardRule,3,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,HardRule,4,1,0,1,1
MiddleAged_Female_case1,MiddleAged_Female,Final,1,0,0,0,0
MiddleAged_Female_case1,MiddleAged_Female,Final,2,1,1,1,1
MiddleAged_Female_case1,MiddleAged_Female,Final,3,1,0,0,1
MiddleAged_Female_case1,MiddleAged_Female,Final,4,1,0,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,1,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,2,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,3,1,0,1,1
MiddleAged_Female_case2,MiddleAged_Female,PreGuardrail,4,1,0,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_strict,1,1,0,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_strict,2,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_strict,3,1,1,1,1
MiddleAged_Female_case2,MiddleAged_Female,LLM_strict,4,1,0,1,1
