CaseKey,Cond,n_CF,n_Na_decreased,n_conflict,conflict_among_eligible,n_carb_above_baseline
MiddleAged_Male_case1,pure,4,2,2,1.0,2
MiddleAged_Male_case1,soft_wide,4,3,2,0.67,2
MiddleAged_Male_case1,soft_strict,4,4,0,0.0,0
MiddleAged_Male_case2,pure,4,4,4,1.0,2
MiddleAged_Male_case2,soft_wide,4,4,4,1.0,3
MiddleAged_Male_case2,soft_strict,4,4,0,0.0,0
MiddleAged_Male_case3,pure,4,1,1,1.0,3
MiddleAged_Male_case3,soft_wide,4,2,2,1.0,3
MiddleAged_Male_case3,soft_strict,4,4,0,0.0,0
MiddleAged_Female_case1,pure,4,1,1,1.0,2
MiddleAged_Female_case1,soft_wide,4,2,2,1.0,2
MiddleAged_Female_case1,soft_strict,4,4,0,0.0,0
MiddleAged_Female_case2,pure,4,0,0,,3
MiddleAged_Female_case2,soft_wide,4,2,1,0.5,3
MiddleAged_Female_case2,soft_strict,4,4,0,0.0,0
MiddleAged_Female_case3,pure,4,1,1,1.0,2
MiddleAged_Female_case3,soft_wide,4,0,0,,3
MiddleAged_Female_case3,soft_strict,4,4,0,0.0,0
Older_Male_case1,pure,4,1,1,1.0,0
Older_Male_case1,soft_wide,4,1,1,1.0,0
Older_Male_case1,soft_strict,4,4,0,0.0,0
Older_Male_case2,pure,4,3,1,0.33,0
Older_Male_case2,soft_wide,4,3,2,0.67,0
Older_Male_case2,soft_strict,2,2,0,0.0,0
Older_Male_case3,pure,4,1,0,0.0,2
Older_Male_case3,soft_wide,3,2,1,0.5,2
Older_Male_case3,soft_strict,4,4,0,0.0,0
Older_Female_case1,pure,4,4,4,1.0,3
Older_Female_case1,soft_wide,4,4,4,1.0,3
Older_Female_case1,soft_strict,4,4,0,0.0,0
Older_Female_case2,pure,4,3,2,0.67,1
Older_Female_case2,soft_wide,4,2,2,1.0,1
Older_Female_case2,soft_strict,0,0,0,,0
Older_Female_case3,pure,4,2,0,0.0,0
Older_Female_case3,soft_wide,4,3,1,0.33,0
Older_Female_case3,soft_strict,0,0,0,,0
